Name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Played
247,0.542,0.364,2,-13.251,1,0.0358,0.313,0.905,0.465,0.0876,109.977,144065,4,0
248,0.741,0.464,1,-11.382,1,0.0479,0.386,0.0485,0.109,0.239,127.955,152064,4,0
249,0.56,0.534,0,-8.637,1,0.0901,0.159,2.67E-06,0.124,0.0376,113.005,143064,4,0
250,0.602,0.467,0,-13.601,0,0.0311,0.00656,0.54,0.13,0.399,115.769,163224,4,0
251,0.781,0.387,10,-12.812,0,0.0595,0.0528,0.00161,0.172,0.114,114.985,165833,4,0
252,0.822,0.552,9,-8.764,1,0.251,0.0622,5.00E-06,0.117,0.521,166.01,93648,4,0
253,0.85,0.149,10,-10.524,0,0.106,0.536,0.702,0.111,0.151,149.981,175056,4,0
254,0.379,0.43,1,-11.445,1,0.0509,0.317,0.0725,0.0861,0.0586,99.93,174375,4,0
255,0.833,0.662,10,-10.406,0,0.0687,0.0617,0.000894,0.125,0.252,114.985,86064,4,0
256,0.604,0.278,10,-13.513,0,0.0386,0.914,0.887,0.109,0.109,129.42,104020,4,0
257,0.498,0.709,2,-9.554,1,0.0712,0.841,6.72E-05,0.579,0.367,138.078,111000,4,0
258,0.499,0.149,3,-21.657,1,0.0877,0.942,0.00284,0.142,0.172,68.254,38568,4,0
259,0.793,0.48,0,-11.821,1,0.129,0.355,0.00121,0.104,0.325,146.009,118368,4,0
260,0.762,0.339,0,-14.349,1,0.0412,0.12,0.012,0.113,0.408,114.97,111250,4,0
261,0.438,0.474,6,-13.229,1,0.1,0.237,0.685,0.259,0.183,86.612,96627,3,0
262,0.624,0.539,4,-10.346,0,0.0596,0.101,0.000117,0.111,0.0392,105.388,128052,4,0
263,0.818,0.164,8,-15.856,1,0.0598,0.512,0.0496,0.103,0.197,109.97,132048,4,0
264,0.615,0.361,9,-11.049,0,0.103,0.0235,0,0.122,0.446,121.971,121056,4,0
